,name,album,year,dance,acoustic,energy,instrumental,liveness,loudness,speech,tempo,valence,popularity,lyrics
0,Virginia Beach,For All The Dogs Scary Hours Edition,2023,0.402,0.106,0.514,0.0,0.181,-7.322,0.0471,120.009,0.2,70,"[Intro: Drake & Frank Ocean]I bet your mother would be proud of you, ooh (You, you, you, oh)I bet our mother would be proud of you, ohI know what you sayYou say I coulda treated you better or whatever, butI don't know, I think I did alrightKnow what I'm sayin'?And you know how you getDrawin' conclusions like you got a Parsons degree or somethin'I coulda treated you better, that's crazyNope[Chorus: Drake]Lean in, lean in soda, Fanta, fantasizin'That's not love you're in, it's more like compromisin'I move mountains for you, fuck that social climbin'Lean into me, lean into meYeah, lean in, lean into me[Verse 1: Drake]Pussy, it makin' me tweak, ended up stayin' a weekShe pretty but ghetto, pretty but rough, just like Virginia BeachI wanna get back to the days that you loved me for nothin' but what you could seeYou bust down the Jubilee, I swapped it and made you go factory, waitYou put some pain in me, I wanna get back to the major leagueShe wanna grab on the throttle, I wanna get back in the driver's seatThat nigga spent his last check on your car and you got it and drove it to meAsked me if I coulda treated you better, but no"
1,Amen (feat. Teezo Touchdown),For All The Dogs Scary Hours Edition,2023,0.646,0.0636,0.605,0.0,0.253,-7.59,0.188,90.156,0.309,65,"[Intro: Teezo Touchdown]Father GodI come to You to say thank YouThat's all, I don't wanna ask for anything, I just wanna say thank You, LordThank You[Chorus: Teezo Touchdown]Prayin', prayin' (Thank You)Pray again, pray again (Thank You, Father)Prayin' (Thank You, Lord)Prayin' 'til you find a manThat's gon' treat youThat's gon' treat you like I can (Amen, amen)That's gon' please youThat's gon' please you like I can (Church)[Verse: Drake, Teezo Touchdown]Church like a priest, Turks for the weekPurse for yourself, purse for your nieceKnow you don't do Percs, baby, but (Take your time)That's the perks of datin' meRed Merces with the red seatsBuy red wig, part the Red SeaWith a neat freak, gettin' mess—God, forgive meFather, I've sinnedSent more than your father ever sentSpent more than your baby father didAnd you my baby, so I gotta put you in the cribSame neighborhood where Ashton Kutcher liveI'm just doin' what that punk should have did (Thank You, Lord)She prayin' for me while I'm on the roadPrayin' for me while I hold her closePrayin' that there's not no other girlI'm prayin' that these girls'll never knowShe prayin', asking God for a signI just went and paid her car note"
2,Calling For You (feat. 21 Savage),For All The Dogs Scary Hours Edition,2023,0.571,0.0548,0.55,0.0,0.179,-6.567,0.106,120.947,0.104,66,"[Intro: Drake]Grr[Verse 1: Drake]I was in the club 'fore she even had itShe was twenty-one, I don't see a savageShe wanna be the one, she know I'm comin' staticShe wanna hold the gun, if you want it, you can have itShawty still young, so she don't know the classicsI see her body, one-of-one, yeahI see her body, one-of-oneGet to the crib, make you cumPussy sweet, call you my honeybun (Tss)I know your nigga was a bumFuck on the crodie, have some funGirl, I'm the king of my city, I'm the one (Tss)Swear you can have me, you really one-of-one (Tss)How you so nasty? You really one-of-one (Tss)How you so flashy? You really one-of-one (Tss)Out in Miami, you still a one-of-one (Tss)I wanna beat on the pussy 'til the sun come upYou fucked on a nigga I see as my son, so what?Yeah, I was in the club, but I was in the cutHad liquor in my cup, had passion in my cupAnd Addy in my system, see a opp, I'ma hit 'em upYeah, he gon' be a victim, I was tryna dance with the bitchCouldn't keep my hands off her hipsKnow she spent some bands on her fitKnow I told you that she really one-on-oneChro', yeah, she advanced with the shitAnd I got a chance with the bitchLoverboy, romance with the bitchCouldn't even put my mans on a bitchLike, damn"
3,Fear Of Heights,For All The Dogs Scary Hours Edition,2023,0.697,0.0127,0.32,0.0,0.18,-9.347,0.214,136.976,0.0658,65,"[Part I][Verse]Ayy, ayy, lookWhy they make it sound like I'm still hung up on you?That could never beGyal can't run meBetter him than meBetter it's not meI'm anti, I'm antiYeah, and the sex was average with youYeah, I'm anti 'cause I had it with youOkay, I'm auntie like your daddy's sisterAuntie like a family pictureAnd I had way badder bitches than you, TBHYeah, that man, he still with you, he can't leave youY'all go on vacation, I bet it's Antigua[Interlude]Let me stopYou know what? Fuck it, let me go[Part II][Chorus]What? Ayy, what? Ayy, what? AyyGirl, you make me wanna cuff you like the law, huhGirl, you makе me wanna work you like the job, ayyI know you a cat, but can your pussy do thе dog?"
4,Daylight,For All The Dogs Scary Hours Edition,2023,0.566,0.0149,0.564,0.0,0.104,-7.88,0.277,139.92,0.0667,64,"[Intro: Tony Montana & Drake]You're all a bunch of fucking assholesYou know why?You don't have the guts to be what you wanna beYou need people like meYou need people like me so you can point your fucking fingersAnd say that's the bad guyYeah (808 Mafia)Grrah[Verse 1: Drake]Treat all my exes like Jehovah's WitnessesFree all the dogs and fuck all the witnessesThey sittin' down, we standin' on businessAyy, standin' on businessStandin' on businessStandin' on businessStandin' on, oohI'm tryna fuck all the bitches that look like my exI'm makin' her vexed, I'm too complexI carry a wholе lotta gold on my neckHe talkin' down, he gеt put in a lakeCapo the type to show up to the wake[Pre-Chorus: Drake]I'm geekin' hard, don't know what to takeDon't know what I tookMy doggy got booked for actin' like BookHe shot him in... (Damn)"
5,First Person Shooter (feat. J. Cole),For All The Dogs Scary Hours Edition,2023,0.475,0.0306,0.655,0.0,0.375,-7.342,0.33,163.997,0.245,67,"[Part I][Intro: J. Cole & Adonis](Pew, pew-pew)First-person shooter mode, we turnin' your song to a funeralTo them niggas that say they wan' off us, you better be talkin' 'bout workin' in cubiclesYeah, them boys had it locked, but I knew the codeLot of niggas debatin' my numeralNot the three, not the two, I'm the U-N-OYeahNumero U-N-OMe and Drizzy, this shit like the Super BowlMan, this shit damn near big as the[Chorus: Drake]Big as the what? (Ah)Big as the what? (Mm)Big as the what? (Ayy)Big as the Super Bowl[Verse 1: Drake]But the difference is it's just two guys playin' shit that they did in the studioNiggas usually send they verses back to me and they be terrible, just like a two-year-oldI love a dinner with some fine women when they start debatin' about who the G.O.A.T.I'm like go on 'head, say it then, who the G.O.A.T.?Who the G.O.A.T.? Who the G.O.A.T.? Who the G.O.A.T.?Who you bitches really rootin' for?Like a kid that act bad from January to November, nigga, it's just you and Cole"
6,IDGAF (feat. Yeat),For All The Dogs Scary Hours Edition,2023,0.673,0.0466,0.672,0.000284,0.193,-8.577,0.224,136.902,0.14,65,"[Intro: Yeat & Azimuth]Traveling forever in the darkDarkness into blacknessThere and back, it's always blackOh-ah, it screeched across the skyNothing to do but lieFuck the bitch, I make her sweat, huh, I'ma die by my respect, huhI put a check up on my neck, life check ya in the headI signed for a couple milli', you only touched a hundred thou'[Interlude: Yeat]Man, I don't give a fuck who it isI called up my twizz' (BNYX)Don't give a fuck what y'all onMan, fuck all of you (All of you)[Chorus: Yeat, Yeat & Drake]Yeah, I don't be givin' no fucks (Not one), uh (Just pull up, pull up, woah)I don't know if you caught on (Caught on)I don't be givin' no fuck (Huh)I say whatever I want, yeah, I do whatever I want, huhI'm countin' up money for funAnd I'm poppin' these Percs just for fun (Luh geek)[Verse 1: Drake]Look, comin' live from theComin' live from the one after fiveComin' live from the three, two timeWhole gang fuckin' eastbound and they down just like Danny McBrideWhy I always see your dawgs in the city?Think you boys left some soldiers behindJust like the jet you boys tried to buyThat ain't gon' fly, nopeI took that one off of the tableOctober's Own, it's a labelI stay with that O like a tireI stay with that O like a bagelI stay with that O like a lifesaverShout' to my ex, I'm her lifesaverMy Glocky, it sit on the night tableYou light on the waist like a lightsaberIn Seattle, it's just me and Twizz'I hate you boys more than I ever didYou rappin' 'bout shit that you never didMy dawg in the can like a metal lidThree the kid, three the kid, three the kid"
7,7969 Santa,For All The Dogs Scary Hours Edition,2023,0.487,0.554,0.49,0.0,0.126,-9.373,0.0649,141.389,0.325,64,"[Intro: Drake]Wait, wait, wait, wait, wait, wait, damnDamn, that's how you're dealin' with me, damnDamn, that's how you're, that's how you'reAyy, look, look[Verse 1: Drake]Who the fuck is that? It's a disguiseYou ain't who I thought I recognizedTwenty thousand pound on your rentBitch, I coulda spent that on the guys[Refrain: Drake & Chief Keef]I don't like what you did on them trips (Shit I don't like)I don't like what you did to your lips (Shit I don't like)I don't like the tone of your replies (Shit I don't like)I don't like the look that's in your eyes (Shit I don't like)Blame this shit on bein' twenty-fiveThat excuse for me just doesn't flyZack keep sayin', ""Meet at seven-nine""But that shit just gon' have you on my mind, yeah[Chorus: Drake]I just wanna gеt you off of my mindI just wanna get you off of my mindI just wanna get you off of my mindAyy, yeah, damnDamn, that's how you'rе dealin' with me, damnDamn, that's how you're dealin' with me, damnI just wanna get you off of my mindI'm seven-nine-six-nine, seven-nine-six-nine, seven-nine-sixSeven-nine-six-nine, seven-nine-six-nine"
8,Slime You Out (feat. SZA),For All The Dogs Scary Hours Edition,2023,0.483,0.508,0.408,0.0,0.259,-9.243,0.0502,88.88,0.105,65,"[Intro: Drake]I don't knowI don't know what's wrong with you girlsI feel like y'all don't need love, you need somebody who could micromanage youYou know what I'm sayin'? Tell you right from wrongWho's smart from who's the foolWhich utensil to use for which food, likeI got a schedule to attend to, thoughI can't really...(6ix)[Verse 1: Drake]You bitches really get carried awayMakin' mistakes, then you beg me to stayGot me wiggin' on you like I'm Arrogant TaeYou got my mind in a terrible placeWhipped and chained you like American slavesAct like you not used to Sheraton staysI met the nigga you thought could replaceHow were there even comparisons made?Bitch, next time, I swear on my grandmother graveI'm slimin' you for them kid choices you made[Refrain: Drake]Slimin' you out, slimin' you out, slimin' you out"
9,Bahamas Promises,For All The Dogs Scary Hours Edition,2023,0.626,0.85,0.309,1.31e-05,0.117,-10.397,0.0433,117.94,0.369,64,"[Intro]Dogs, manYeah, For All The DogsMm, oh-oh-oh, ayy-ayy[Verse]Hayley, it's sad that I know all the teaBroken pinky promises, you fucked up our Bahamas tripI know that you're not for meHayleyI'm tired of your apologiesYou put the ""No"" in monogamy (No)You know that you're not for meHayleyI'm slidin' down Black CreekMy friends say they wanna meet, but (I don't have the energy)But I don't have the energy 'cause, oohI'm tired of your apologies, ohBroken pinky promises, you fucked up my Bahamas tripI know that you're not for me, HayleyYou're livin' in my mind for freeAnd for someone you don't miss, I sure feel like somebody you needHayleyYou ain't got nowhere to beIt's 'cause you should've been with meThe list of things we could've beenDamnGuess I'll see you in my dreamsI'm fucked up off of T3Promise I won't cause a sceneI got too much respect for me"
